Disease Name,Symptom 1,Symptom 2,Symptom 3,Symptom 4,Symptom 5,Symptom 6,Symptoms_text,Precaution 1,Precaution 2,Precaution 3,Precaution 4,Suggested Doctor
Acanthosis Nigricans,Flaky skin,Pain,Discoloration,Redness,Swelling,Scaly patches,Dark velvety patches in body folds,Avoid sun exposure,Stay hydrated,Use medicated cream,Wear loose clothing,Skin Specialist
Acanthosis Nigricans,Pain,Swelling slight,Redness again,"Discoloration ,",Scaly patches severe,Flaky skin,"Pain Swelling slight Redness again Discoloration , Scaly patches severe Flaky skin",Avoid sun exposure,Stay hydrated,Use medicated cream,Wear loose clothing,Skin Specialist
Acanthosis Nigricans,Scaly patches severe,Flaky skin severe,Pain also,Discoloration .,Swelling,Redness,Scaly patches severe Flaky skin severe Pain also Discoloration . Swelling Redness,Avoid sun exposure,Stay hydrated,Use medicated cream,Wear loose clothing,Skin Specialist
Acanthosis Nigricans,Discoloration slight,Flaky skin slight,Scaly patches,Swelling again,Pain again,Redness notice,Discoloration slight Flaky skin slight Scaly patches Swelling again Pain again Redness notice,Avoid sun exposure,Stay hydrated,Use medicated cream,Wear loose clothing,Skin Specialist
Acanthosis Nigricans,Swelling notice,Discoloration .,Scaly patches again,Redness severe,"Flaky skin ,",Pain notice,"Swelling notice Discoloration . Scaly patches again Redness severe Flaky skin , Pain notice",Avoid sun exposure,Stay hydrated,Use medicated cream,Wear loose clothing,Skin Specialist
Acanthosis Nigricans,Scaly patches,Flaky skin .,Swelling also,Discoloration notice,Pain also,Redness .,Scaly patches Flaky skin . Swelling also Discoloration notice Pain also Redness .,Avoid sun exposure,Stay hydrated,Use medicated cream,Wear loose clothing,Skin Specialist
Acanthosis Nigricans,Redness slight,"Flaky skin ,",Pain .,"Discoloration ,",Scaly patches feeling,Swelling .,"Redness slight Flaky skin , Pain . Discoloration , Scaly patches feeling Swelling .",Avoid sun exposure,Stay hydrated,Use medicated cream,Wear loose clothing,Skin Specialist
Acanthosis Nigricans,Pain feeling,Redness,"Flaky skin ,",Discoloration .,Swelling notice,Scaly patches again,"Pain feeling Redness Flaky skin , Discoloration . Swelling notice Scaly patches again",Avoid sun exposure,Stay hydrated,Use medicated cream,Wear loose clothing,Skin Specialist
Acanthosis Nigricans,Discoloration notice,Flaky skin,Redness,Scaly patches feeling,Pain .,Swelling notice,Discoloration notice Flaky skin Redness Scaly patches feeling Pain . Swelling notice,Avoid sun exposure,Stay hydrated,Use medicated cream,Wear loose clothing,Skin Specialist
Acanthosis Nigricans,Scaly patches again,Pain feeling,Redness notice,Flaky skin again,Discoloration slight,Swelling also,Scaly patches again Pain feeling Redness notice Flaky skin again Discoloration slight Swelling also,Avoid sun exposure,Stay hydrated,Use medicated cream,Wear loose clothing,Skin Specialist
